id,name,year,glottocode,map_name_full,note
1,Ava guaraníes,2001,east2555,Lenguas indígenas de la Argentina actual,
2,Chorote,2001,iyow1239,Lenguas indígenas de la Argentina actual,
3,Guaraní correntino,2001,para1311,Lenguas indígenas de la Argentina actual,
4,Mapuche,2001,mapu1245,Lenguas indígenas de la Argentina actual,
5,Mbyá,2001,mbya1239,Lenguas indígenas de la Argentina actual,
6,Mocoví,2001,moco1246,Lenguas indígenas de la Argentina actual,
7,Pilagá,2001,pila1245,Lenguas indígenas de la Argentina actual,
8,Quichua santiagueño,2001,sant1432,Lenguas indígenas de la Argentina actual,
9,Tehuelche,2001,tehu1242,Lenguas indígenas de la Argentina actual,
10,Toba,2001,toba1269,Lenguas indígenas de la Argentina actual,
11,Wichí,2001,wich1264,Lenguas indígenas de la Argentina actual,
